name,binaryflag,mass,radius,period,semimajoraxis,eccentricity,periastron,longitude,ascendingnode,inclination,temperature,age,discoverymethod,discoveryyear,lastupdate,system_rightascension,system_declination,system_distance,hoststar_mass,hoststar_radius,hoststar_metallicity,hoststar_temperature,hoststar_age,list
TOI-561 b,0,0.005,0.127,0.446578,0.01055,0.0,90.0,,,87.0,,,transit,2020.0,21/01/11,09 52 44,+06 12 58,85.8,0.79,0.85,-0.33,5455.0,,Confirmed planets
TOI-561 c,0,0.01699,0.257,10.779,0.08809,0.06,200.0,,,89.53,,,transit,2020.0,21/01/11,09 52 44,+06 12 58,85.8,0.79,0.85,-0.33,5455.0,,Confirmed planets
TOI-561 d,0,0.0376,0.226,25.62,0.1569,0.051,246.0,,,89.54,,,transit,2020.0,21/01/11,09 52 44,+06 12 58,85.8,0.79,0.85,-0.33,5455.0,,Controversial
TOI-561 e,0,0.05034,0.238,77.23,0.3274,0.061,155.0,,,89.75,,,transit,2020.0,21/01/11,09 52 44,+06 12 58,85.8,0.79,0.85,-0.33,5455.0,,Controversial
TOI-561 f,0,0.00944,0.207,16.287,0.1174,0.0,,,,,750.0,,transit,2020.0,21/01/11,09 52 44,+06 12 58,85.8,0.79,0.85,-0.33,5455.0,,Controversial
HD 188015 A b,2,1.26,,456.46,1.19,0.15,,,,,,,RV,2004.0,12/12/08,19 52 04,+28 06 01,52.6,1.09,1.1,0.29,,,"Confirmed planets, Planets in binary systems, S-type"
Kepler-353 c,0,,0.12576,8.410894,,,,,,,,,transit,2014.0,14/02/26,19 47 25.5847,+41 45 29.4197,370.06,0.553,0.504,,3903.0,,Confirmed planets
Kepler-353 b,0,,0.08111,5.795278,,,,,,,,,transit,2014.0,14/02/26,19 47 25.5847,+41 45 29.4197,370.06,0.553,0.504,,3903.0,,Confirmed planets
Kepler-711 b,0,,0.304,23.58914398,,,,,,,,,transit,2016.0,16/05/10,19 49 50.3993,+42 50 23.6679,635.768,0.84,0.8,-0.04,5222.0,,Confirmed planets
HAT-P-18 b,0,0.196,0.947,5.507978,0.0559,0.009,,,,88.79,841.0,,transit,2010.0,14/03/31,17 05 23.1475,+33 00 44.9391,166.0,0.77,0.717,0.1,4870.0,,Confirmed planets
Kepler-529 b,0,,0.166,1.98035766,,,,,,,,,transit,2016.0,16/05/10,19 03 33.2082,+47 52 49.3433,,1.07,1.14,-0.1,6087.0,,Confirmed planets
Kepler-529 c,0,,0.178,12.8345022,,,,,,,,,transit,2016.0,16/05/10,19 03 33.2082,+47 52 49.3433,,1.07,1.14,-0.1,6087.0,,Confirmed planets
Gliese 504 b,0,,0.96,,,,,,,,544.0,,imaging,2013.0,17/12/04,13 16 46.51596,+09 25 26.9590,17.56,1.16,1.36,0.13,5978.0,4.5,Confirmed planets
GJ 393 b,0,0.00538,,7.02679,0.05402,,,,,,485.0,,RV,2021.0,21/05/31,10 28 55.5513,+00 50 27.6018,7.0375,0.426,0.426,-0.09,3579.0,,Confirmed planets
Kepler-329 c,0,,0.17588,18.684737,,,,,,,,,transit,2014.0,14/02/26,19 57 04.3231,+45 13 38.7576,390.8,0.602,0.523,,4257.0,,Confirmed planets
Kepler-329 b,0,,0.12758,7.416397,,,,,,,,,transit,2014.0,14/02/26,19 57 04.3231,+45 13 38.7576,390.8,0.602,0.523,,4257.0,,Confirmed planets
HD 34445 b,0,0.629,,1056.7,2.075,0.014,115.0,,,,,,RV,2010.0,17/10/28,05 17 40.9804,+07 21 12.0547,45.37,1.07,1.38,0.14,5836.0,8.5,Confirmed planets
HD 34445 c,0,0.168,,214.67,,0.036,149.0,,,,,,RV,2017.0,17/10/20,05 17 40.9804,+07 21 12.0547,45.37,1.07,1.38,0.14,5836.0,8.5,Confirmed planets
HD 34445 d,0,0.097,,117.87,,0.027,246.0,,,,,,RV,2017.0,17/10/20,05 17 40.9804,+07 21 12.0547,45.37,1.07,1.38,0.14,5836.0,8.5,Confirmed planets
HD 34445 e,0,0.0529,,49.175,,0.09,304.0,,,,,,RV,2017.0,17/10/20,05 17 40.9804,+07 21 12.0547,45.37,1.07,1.38,0.14,5836.0,8.5,Confirmed planets
HD 34445 f,0,0.119,,676.8,,0.031,212.0,,,,,,RV,2017.0,17/10/20,05 17 40.9804,+07 21 12.0547,45.37,1.07,1.38,0.14,5836.0,8.5,Confirmed planets
HD 34445 g,0,0.38,,5700.0,,0.032,235.0,,,,,,RV,2017.0,17/10/20,05 17 40.9804,+07 21 12.0547,45.37,1.07,1.38,0.14,5836.0,8.5,Confirmed planets
Kepler-437 b,0,,0.191,66.65062,0.288,,,,,89.9,,,transit,2015.0,15/01/28,19 49 23.3655,+44 01 36.9642,417.0,0.707,0.68,0.0,4551.0,2.9,Confirmed planets
Kepler-1209 b,0,,0.135,25.369116,,,,,,,,,transit,2016.0,16/05/10,19 10 20.3835,+49 09 17.1888,512.899,1.23,1.38,0.12,6210.0,,Confirmed planets
K2-288 B b,2,,0.17,31.393463,0.164,,,,,89.81,226.0,,transit,2018.0,19/01/10,03 41 46,+18 16 08,65.72,0.33,0.32,-0.21,3341.0,,"Confirmed planets, Planets in binary systems, S-type"
MOA-bin-1L b,0,3.7,,,8.3,,,,,,,,microlensing,2012.0,18/09/19,17 51 10.20,-29 47 38.3,5100.0,0.75,,,,,Confirmed planets
Kepler-622 b,0,,0.19,14.28226676,,,,,,,,,transit,2016.0,16/05/10,18 57 54.8324,+40 55 59.1867,287.117,0.64,0.61,-0.09,4201.0,,Confirmed planets
TOI-2000 b,0,0.0347,0.241,3.09833,0.04271,0.0,,,,84.59,1488.0,,transit,2023.0,23/10/15,09 45 35,-66 41 12,175.713,1.08,1.13,0.439,5611.0,,Confirmed planets
TOI-2000 c,0,0.257,0.727,9.127055,0.0878,0.063,196.0,,,87.86,1038.0,,transit,2023.0,23/10/15,09 45 35,-66 41 12,175.713,1.08,1.13,0.439,5611.0,,Confirmed planets
Kepler-34 (AB) b,1,0.22,0.764,288.822,1.0896,0.182,,,,90.355,,,transit,2012.0,12/01/11,19 45 45,+44 38 30,1500.0,,,,,,"Confirmed planets, Planets in binary systems, P-type"
HD 32963 b,0,0.7,,2372.0,3.41,0.07,107.0,,,,,,RV,2015.0,15/12/18,05 07 55.76384,+26 19 40.6623,36.39,0.94,,0.11,5727.0,4.99,Confirmed planets
Kepler-1952 b,0,0.0065,0.111,27.21080017,0.1724,0.0,,,,80.02,725.0,,transit,2021.0,22/09/15,19 12 18,+43 57 31,852.062,0.92,1.31,-0.34,5973.0,,Confirmed planets
Kepler-1459 b,0,,0.121,62.8691611,,,,,,,,,transit,2016.0,16/05/10,18 49 41.5277,+46 00 50.4299,461.51,0.78,0.74,0.01,4828.0,,Confirmed planets
Kepler-1883 b,0,0.0334,0.29,103.427002,0.4438,0.0,,,,90.0,416.0,,transit,2021.0,22/02/01,19 27 41,+42 00 09,1377.61,1.09,1.02,-0.12,6208.0,,Confirmed planets
HIP 35173 b,0,0.03996,,41.516,0.217,0.16,10.73,,,,,,RV,2019.0,19/05/23,07 16 10.6750,-03 39 57.2724,33.19,0.79,,,4881.0,,Confirmed planets
HD 20003 b,0,0.0378,,11.849,0.0974,0.4,,,,,751.7,,RV,2011.0,11/09/12,03 07 37.9173,-72 19 18.7956,43.8,,,,5940.0,,Confirmed planets
HD 20003 c,0,0.0422,,33.823,0.1961,0.16,,,,,534.5,,RV,2011.0,11/09/12,03 07 37.9173,-72 19 18.7956,43.8,,,,5940.0,,Confirmed planets
Kepler-569 b,0,,0.282,34.18890521,,,,,,,,,transit,2016.0,16/05/10,18 54 01.7407,+48 33 09.4005,650.237,0.95,0.93,0.01,5616.0,,Confirmed planets
TrES-1 b,0,0.761,1.099,3.0300722,0.0393,0.0,,,,88.4,,,transit,2004.0,11/02/09,19 04 09.8516,+36 37 57.4459,157.0,0.88,0.85,0.001,5250.0,,Confirmed planets
K2-240 c,0,,0.161,20.523,0.1159,,,,,89.66,389.0,,transit,2018.0,18/06/21,15 11 23.9073,-17 52 30.7961,70.0,0.58,0.54,-0.1,3810.0,,Confirmed planets
K2-240 b,0,,0.178,6.034,0.0513,,,,,89.26,586.0,,transit,2018.0,18/06/21,15 11 23.9073,-17 52 30.7961,70.0,0.58,0.54,-0.1,3810.0,,Confirmed planets
KOI-195 b,0,0.34,1.09,3.21751883,0.0414,,,,,85.74,1300.0,,transit,2014.0,14/10/02,19 17 44.3197,+49 28 24.3051,880.0,0.91,0.92,-0.21,5725.0,3.0,Confirmed planets
Kepler-1885 b,0,0.0091,0.135,2.52255988,0.036,0.0,,,,63.8,1205.0,,transit,2021.0,22/02/01,19 15 00,+47 29 27,818.482,0.98,0.86,0.07,5591.0,,Confirmed planets
Kepler-178 b,0,,0.26428,9.576694,,,,,,,,,transit,2014.0,14/02/26,19 08 24.2566,+46 53 47.3599,963.58,0.89,1.066,,5676.0,,Confirmed planets
Kepler-178 d,0,,0.35996,96.678988,,,,,,,,,transit,2014.0,14/02/26,19 08 24.2566,+46 53 47.3599,963.58,0.89,1.066,,5676.0,,Confirmed planets
Kepler-178 c,0,,0.26246,20.552802,,,,,,,,,transit,2014.0,14/02/26,19 08 24.2566,+46 53 47.3599,963.58,0.89,1.066,,5676.0,,Confirmed planets
Kepler-1217 b,0,,0.178,2.03232507,,,,,,,,,transit,2016.0,16/05/10,19 16 44.8010,+50 56 15.2396,1401.74,1.06,1.08,0.07,5905.0,,Confirmed planets
Kepler-773 b,0,,0.128,3.74910006,,,,,,,,,transit,2016.0,16/05/10,19 23 32.3203,+38 03 27.2683,555.803,1.04,1.01,0.05,5850.0,,Confirmed planets
Kepler-19 b,0,0.02643,,9.28716,,0.12,59.1,,,,,,transit,2011.0,17/04/13,19 21 40.9995,+37 51 06.4362,219.95,0.94,0.86,-0.08,5544.0,,Confirmed planets
Kepler-19 c,0,0.04122,,28.731,,0.21,23.8,,,,,,timing,2011.0,17/04/13,19 21 40.9995,+37 51 06.4362,219.95,0.94,0.86,-0.08,5544.0,,Confirmed planets
Kepler-19 d,0,0.07079,,62.95,,0.05,55.2,,,,,,RV,2017.0,17/04/13,19 21 40.9995,+37 51 06.4362,219.95,0.94,0.86,-0.08,5544.0,,Confirmed planets
HD 96700 b,0,0.0284,,8.1256,0.0774,0.1,,,,,1001.4,,RV,2011.0,11/09/12,11 07 54.4269,-30 10 28.4451,25.6,,,,5940.0,,Confirmed planets
HD 96700 c,0,0.04,,103.49,0.422,0.37,,,,,425.4,,RV,2011.0,11/09/12,11 07 54.4269,-30 10 28.4451,25.6,,,,5940.0,,Confirmed planets
Kepler-1799 b,0,0.0501,0.368,11.9296999,0.1028,0.0,,,,89.99,770.0,,transit,2021.0,22/02/01,19 13 14,+51 28 42,2254.69,1.02,0.92,0.0,5831.0,,Confirmed planets
Kepler-945 b,0,,0.235,31.0033814,,,,,,,,,transit,2016.0,16/05/10,19 25 04.7401,+42 05 45.7662,,0.97,0.97,-0.01,5718.0,,Confirmed planets
Kepler-1377 b,0,,0.112,0.74092842,,,,,,,,,transit,2016.0,16/05/10,19 16 46.9091,+46 39 05.9572,1183.85,0.86,0.82,0.05,5218.0,,Confirmed planets
Kepler-520 b,0,,0.148,19.67416124,,,,,,,,,transit,2016.0,16/05/10,19 32 43.2753,+41 37 03.9270,747.943,1.1,1.09,-0.03,6112.0,,Confirmed planets
Kepler-520 c,0,,0.095,5.21104261,,,,,,,,,transit,2016.0,16/05/10,19 32 43.2753,+41 37 03.9270,747.943,1.1,1.09,-0.03,6112.0,,Confirmed planets
HD 113996 b,0,6.3,,610.2,1.6,0.28,92.06,,,,,,RV,2017.0,17/11/30,13 07 10.7300,+27 37 29.0585,116.34,1.49,25.11,0.13,4181.0,,Confirmed planets
OGLE-TR-56 b,0,1.3,1.2,1.211909,0.0225,0.0,,,,78.8,1390.3,,transit,2002.0,10/06/24,17 56 35.5015,-29 32 21.4767,1500.0,1.17,1.32,,5940.0,,Confirmed planets
K2-320 b,0,,0.234,1.995,0.0142,,,,,87.84,698.0,,transit,2020.0,20/09/03,10 53 01,+05 18 24,109.07,0.12,0.3,,3157.0,,Confirmed planets
NGTS-14 A b,2,0.092,0.44,3.5357173,0.0403,0.0,,,,86.7,1143.0,,transit,2021.0,21/01/12,21 54 04.00,-38 22 39.00,325.1,0.898,0.842,0.1,5187.0,,"Confirmed planets, Planets in binary systems, S-type"
K2-346 b,0,0.018,0.202,26.201446,,,,,,89.517,450.0,,transit,2016.0,21/10/03,08 23 57,+22 39 48,105.58,0.71,0.7,-0.18,4801.0,,Confirmed planets
WASP-172 b,0,0.47,1.57,5.477433,0.0694,,,,,86.7,1740.0,,transit,2018.0,18/03/06,13 17 44.1223,-47 14 15.2770,562.0,1.49,1.91,-0.1,6900.0,1.8,Confirmed planets
Kepler-1693 b,0,,0.115,12.0999,,,,,,,,,transit,2020.0,20/09/03,19 20 48,+48 11 09,776.92,,0.89,,5356.0,,Confirmed planets
Kepler-644 b,0,,0.281,3.1739171,,,,,,,,,transit,2016.0,16/05/10,19 41 54.1747,+43 29 35.2746,1369.11,1.49,1.81,0.08,6747.0,,Confirmed planets
Kepler-1592 b,0,,0.137,3.05710069,,,,,,,,,transit,2016.0,16/05/10,19 35 24.1534,+38 23 51.9145,1717.92,1.18,1.28,0.04,6213.0,,Confirmed planets
Kepler-714 b,0,,0.863,8.09888799,,,,,,,,,transit,2016.0,16/05/10,18 50 47.8787,+43 16 21.8794,,1.09,1.12,0.04,5995.0,,Confirmed planets
WTS-2 b,0,1.12,1.363,1.0187068,0.01855,,,,,83.55,2000.0,,RV,2014.0,14/02/25,19 34 55.8667,+36 48 55.8471,1030.7,0.82,0.752,0.2,5000.0,,Confirmed planets
HD 142022 A b,2,5.1,,1928.0,3.03,0.53,,,,10.0,112.3,,RV,2005.0,12/12/08,16 10 15,-84 13 53,35.87,0.99,0.705,0.19,5382.0,,"Confirmed planets, Planets in binary systems, S-type"
KMT-2021-BLG-1554 b,0,0.12,,,0.84,,,,,,,,microlensing,2022.0,22/05/26,17 51 13.00,-31 51 52.00,7680.0,0.08,,,,,Confirmed planets
KMT-2019-BLG-1953L b,0,0.64,,,,,,,,,,,microlensing,2020.0,20/09/03,17 56 28,-28 12 04,7040.0,0.31,,,,,Confirmed planets
HIP 105854 b,0,8.2,,184.2,0.81,0.02,343.2,,,,,,RV,2014.0,14/06/11,21 26 22.8744,-37 49 45.9539,78.8,2.1,,0.31,4780.0,,Confirmed planets
WASP-108 b,0,0.892,1.284,2.6755463,0.0397,,,,,88.49,1590.0,,transit,2014.0,14/10/14,13 03 18.7182,-49 38 22.8319,220.0,1.167,1.215,0.05,6000.0,6.4,Confirmed planets
HD 31527 b,0,0.0363,,16.546,0.1253,0.13,,,,,770.9,,RV,2011.0,11/09/12,04 55 38.3827,-23 14 30.7589,38.6,,,,5940.0,,Confirmed planets
HD 31527 c,0,0.0498,,51.284,0.2665,0.11,,,,,528.8,,RV,2011.0,11/09/12,04 55 38.3827,-23 14 30.7589,38.6,,,,5940.0,,Confirmed planets
HD 31527 d,0,0.0519,,274.49,0.8181,0.38,,,,,299.2,,RV,2011.0,11/09/12,04 55 38.3827,-23 14 30.7589,38.6,,,,5940.0,,Confirmed planets
WISE J033605.05-014350.4 b,0,8.25,1.12,2560.0,0.97,,,,,,325.0,,imaging,2023.0,23/10/15,03 36 05,-01 43 50,,0.01,,,415.0,,Confirmed planets
K2-138 g,0,,0.284,41.96645,0.2287,,,,,89.29,445.0,,transit,2021.0,21/03/04,23 15 48,-10 50 59,202.59,0.92,0.84,0.134,5283.0,,Confirmed planets
K2-138 b,0,,0.133,2.35321,0.0338,,,,,87.72,1157.0,,transit,2017.0,21/03/04,23 15 48,-10 50 59,202.59,0.92,0.84,0.134,5283.0,,Confirmed planets
K2-138 c,0,,0.202,3.56015,0.0442,,,,,88.59,1012.0,,transit,2017.0,21/03/04,23 15 48,-10 50 59,202.59,0.92,0.84,0.134,5283.0,,Confirmed planets
K2-138 d,0,,0.219,5.40484,0.0575,,,,,89.11,888.0,,transit,2017.0,21/03/04,23 15 48,-10 50 59,202.59,0.92,0.84,0.134,5283.0,,Confirmed planets
K2-138 e,0,,0.277,8.26147,0.0792,,,,,88.92,757.0,,transit,2017.0,21/03/04,23 15 48,-10 50 59,202.59,0.92,0.84,0.134,5283.0,,Confirmed planets
K2-138 f,0,,0.244,12.75758,0.1064,,,,,88.99,653.0,,transit,2017.0,21/03/04,23 15 48,-10 50 59,202.59,0.92,0.84,0.134,5283.0,,Confirmed planets
Kepler-331 b,0,,0.16586,8.457496,,,,,,,,,transit,2014.0,14/02/26,19 27 20.2410,+39 18 26.4843,466.86,0.653,0.492,,4347.0,,Confirmed planets
Kepler-331 c,0,,0.16768,17.28111,,,,,,,,,transit,2014.0,14/02/26,19 27 20.2410,+39 18 26.4843,466.86,0.653,0.492,,4347.0,,Confirmed planets
Kepler-331 d,0,,0.14945,32.134328,,,,,,,,,transit,2014.0,14/02/26,19 27 20.2410,+39 18 26.4843,466.86,0.653,0.492,,4347.0,,Confirmed planets
Kepler-815 b,0,,0.367,8.57503552,,,,,,,,,transit,2016.0,16/05/10,19 00 53.0660,+47 52 52.8201,1306.85,1.25,3.42,-0.03,5028.0,,Confirmed planets
Kepler-270 b,0,,0.18317,11.476094,,,,,,,,,transit,2014.0,14/02/26,18 48 48.0254,+44 25 20.1854,1098.1,1.17,1.461,,6067.0,,Confirmed planets
Kepler-270 c,0,,0.1613,25.262887,,,,,,,,,transit,2014.0,14/02/26,18 48 48.0254,+44 25 20.1854,1098.1,1.17,1.461,,6067.0,,Confirmed planets
K2-195 b,0,,0.2623,15.85354,,,,,,89.0,,,transit,2018.0,18/07/24,13 19 19.5635,-08 30 34.1363,499.8,0.963,0.906,-0.09,,,Confirmed planets
K2-195 c,0,,0.2302,28.4828,,,,,,88.5,,,transit,2018.0,18/07/24,13 19 19.5635,-08 30 34.1363,499.8,0.963,0.906,-0.09,,,Confirmed planets
EPIC 203311200 b,0,,0.51,540.0,1.25,,,,,,,,transit,2015.0,17/12/09,16 03 54.3405,-26 33 13.4138,437.0,0.91,0.94,,5200.0,,Controversial
Kepler-636 b,0,,0.397,16.08066115,,,,,,,,,transit,2016.0,16/05/10,19 34 22.0931,+41 05 42.5186,504.566,0.85,0.8,-0.02,5203.0,,Confirmed planets
HATS-17 b,0,1.338,0.777,16.254611,0.1308,,,,,89.08,,,transit,2015.0,15/11/01,12 48 45.5453,-47 36 49.2878,339.0,1.131,1.091,0.3,5846.0,2.1,Confirmed planets
TOI-564 b,0,1.463,1.02,1.651144,0.02734,0.072,94.0,,,78.38,1714.0,,transit,2020.0,21/01/28,08 41 10.8395,-16 02 10.6079,197.4,1.0,1.09,0.143,5640.0,,Confirmed planets
HATS-8 b,0,0.138,0.873,3.583893,0.04667,,,,,87.8,1324.0,,transit,2015.0,15/06/03,19 39 46.0127,-25 44 54.0091,829.0,1.056,1.086,0.21,5679.0,5.1,Confirmed planets
HAT-P-30 b,2,0.711,1.34,2.810595,0.0419,0.035,,,,83.6,1552.5,,transit,2011.0,12/11/24,08 15 48,+05 50 12,193.0,1.242,1.215,0.13,6304.0,1.0,"Confirmed planets, Planets in binary systems, S-type"
HD 218566 b,0,0.21,,225.7,0.6873,0.3,36.0,,,,,,RV,2010.0,15/11/03,23 09 10.72771,-02 15 38.6775,28.55,0.85,0.86,0.38,4820.0,8.5,Confirmed planets
HD 9446 b,0,0.7,,30.052,0.189,0.2,,,,,586.1,,RV,2010.0,10/01/05,01 33 20.1848,+29 15 54.5389,53.0,1.0,1.0,0.09,5793.0,,Confirmed planets
HD 9446 c,0,1.82,,192.9,0.654,0.06,,,,,315.8,,RV,2010.0,10/01/05,01 33 20.1848,+29 15 54.5389,53.0,1.0,1.0,0.09,5793.0,,Confirmed planets
Kepler-957 b,0,,0.491,5.90741354,,,,,,,,,transit,2016.0,16/05/10,19 20 37.5226,+48 49 08.3452,844.381,0.81,0.75,-0.01,4963.0,,Confirmed planets
TOI-4010 d,0,0.12003,0.551,14.70886,0.113,0.07,109.0,,,89.0,650.0,,transit,2023.0,23/10/15,01 20 52,+66 04 20,177.504,0.88,0.83,0.37,4960.0,,Confirmed planets
TOI-4010 b,0,0.03461,0.269,1.348335,0.0229,0.03,0.0,,,88.1,1441.0,,transit,2023.0,23/10/15,01 20 52,+66 04 20,177.504,0.88,0.83,0.37,4960.0,,Confirmed planets
TOI-4010 e,0,2.17728,1.19,762.0,1.57,0.26,138.0,,,,174.0,,RV,2023.0,23/10/15,01 20 52,+66 04 20,177.504,0.88,0.83,0.37,4960.0,,Confirmed planets
TOI-4010 c,0,0.0639,0.529,5.414654,0.058,0.03,57.0,,,88.8,907.0,,transit,2023.0,23/10/15,01 20 52,+66 04 20,177.504,0.88,0.83,0.37,4960.0,,Confirmed planets
Kepler-42 b,0,,0.07108,1.21376,0.0116,,,,,,,,transit,2012.0,12/01/11,19 28 52.5687,+44 37 08.9902,38.7,0.13,0.17,-0.3,,,Confirmed planets
Kepler-42 c,0,,0.0665,0.4532,0.006,,,,,,,,transit,2012.0,12/01/11,19 28 52.5687,+44 37 08.9902,38.7,0.13,0.17,-0.3,,,Confirmed planets
Kepler-42 d,0,,0.0519,1.865,0.0154,,,,,,,,transit,2012.0,12/01/11,19 28 52.5687,+44 37 08.9902,38.7,0.13,0.17,-0.3,,,Confirmed planets
Kepler-1443 b,0,,0.087,2.41811321,,,,,,,,,transit,2016.0,16/05/10,18 53 44.5820,+47 04 00.6385,603.064,1.19,1.27,0.0,6289.0,,Confirmed planets
Kepler-903 b,0,,0.179,10.3507721,,,,,,,,,transit,2016.0,16/05/10,19 15 05.0446,+40 39 51.1192,1425.31,0.98,0.97,0.05,5682.0,,Confirmed planets
Kepler-903 c,0,,0.226,62.9228557,,,,,,,,,transit,2016.0,16/05/10,19 15 05.0446,+40 39 51.1192,1425.31,0.98,0.97,0.05,5682.0,,Confirmed planets
WASP-126 b,0,0.28411,,3.28883,,,,,,89.51,,,transit,2016.0,19/12/05,04 13 29.7455,-69 13 36.5617,234.0,1.12,1.27,,5800.0,,Confirmed planets
WASP-126 c,0,0.20199,,7.63,,0.05,183.2,,,85.5,,,timing,2019.0,19/12/05,04 13 29.7455,-69 13 36.5617,234.0,1.12,1.27,,5800.0,,Confirmed planets
KMT-2019-BLG-1552L b,0,4.05,1.16,,2.6,,,,,,,,microlensing,2022.0,23/10/15,17 58 23,-27 34 01,4600.0,0.79,,,,,Confirmed planets
Kepler-1869 b,0,0.00458,0.1,8.16736031,0.0791,0.0,,,,86.03,865.0,,transit,2021.0,22/02/01,19 30 28,+42 45 52,113.025,0.99,0.9,-0.06,5808.0,,Confirmed planets
Kepler-1327 b,0,,0.161,14.88801098,,,,,,,,,transit,2016.0,16/05/10,19 16 15.5722,+50 27 39.6245,691.611,1.02,1.03,-0.03,5885.0,,Confirmed planets
Kepler-1475 b,0,,0.261,82.177374,,,,,,,,,transit,2016.0,16/05/10,19 43 47.5872,+44 45 11.2254,1639.08,1.18,1.28,0.03,6214.0,,Confirmed planets
KIC 7917485 b,0,11.8,,840.0,2.03,0.15,,,,,,,transit,2016.0,16/08/11,19 57 44.3028,+43 37 57.4786,1439.2631,1.63,,-0.02,7067.0,,Confirmed planets
HD 221416 b,0,0.19,0.836,14.2767,0.1228,0.115,-106.0,,,85.75,,,transit,2019.0,19/04/18,23 32 08.0724,-21 48 05.1168,95.08,1.21,2.94,-0.08,5080.0,,Confirmed planets
TOI-2406 b,0,0.0286,0.2623,3.0766896,0.0228,0.26,279.0,,,89.63,447.0,,transit,2021.0,21/08/02,00 35 13.00,-03 22 14.00,55.6,0.162,0.202,-0.38,3100.0,,Confirmed planets
Kepler-305 b,0,0.033,0.321,5.487,,,,,,,,,transit,2013.0,14/05/14,19 56 54,+40 20 36,889.64,,0.79,,5100.0,,Confirmed planets
Kepler-305 c,0,0.019,0.294,8.291,,,,,,,,,transit,2013.0,14/05/14,19 56 54,+40 20 36,889.64,,0.79,,5100.0,,Confirmed planets
Kepler-305 d,0,,0.242,16.738661,0.121,,,,,,,,transit,2014.0,14/05/14,19 56 54,+40 20 36,889.64,,0.79,,5100.0,,Confirmed planets
Kepler-305 e,0,,0.16,3.20538,,,,,,,,,transit,2020.0,20/09/03,19 56 54,+40 20 36,889.64,,0.79,,5100.0,,Confirmed planets
Kepler-930 b,0,,0.19,71.4517775,,,,,,,,,transit,2016.0,16/05/10,19 53 15.4626,+42 14 50.7594,869.565,1.25,1.4,0.04,6335.0,,Confirmed planets
K2-382 b,0,0.0156,0.185,21.700156,,,,,,88.298,,,transit,2022.0,22/03/01,19 09 39,-19 37 37,278.412,0.92,0.81,-0.027,5452.0,,Confirmed planets
HIP 4845 b,0,0.04531,,34.15,0.176,0.25,108.0,,,,,,RV,2020.0,20/09/03,01 02 21.1343,-10 25 25.8942,21.11,0.62,,,,,Confirmed planets
Kepler-1366 b,0,,0.128,2.16457097,,,,,,,,,transit,2016.0,16/05/10,19 00 15.5801,+41 33 17.5584,471.921,0.62,0.6,-0.02,4070.0,,Confirmed planets
K2-230 b,0,,0.1722,2.86064,,,,,,86.0,,,transit,2018.0,18/07/24,12 45 27.1694,-06 34 33.9987,497.6,1.131,1.18,0.21,,,Confirmed planets
Kepler-184 b,0,,0.21507,10.687576,,,,,,,,,transit,2014.0,14/02/26,19 27 48.4549,+43 04 28.9733,727.97,0.97,0.873,,5788.0,,Confirmed planets
Kepler-184 c,0,,0.17953,20.303005,,,,,,,,,transit,2014.0,14/02/26,19 27 48.4549,+43 04 28.9733,727.97,0.97,0.873,,5788.0,,Confirmed planets
Kepler-184 d,0,,0.22691,29.022358,,,,,,,,,transit,2014.0,14/02/26,19 27 48.4549,+43 04 28.9733,727.97,0.97,0.873,,5788.0,,Confirmed planets
HD 209458 b,0,0.714,1.38,3.52474859,0.04747,0.0004,,,,86.59,1316.1,,transit,1999.0,14/04/18,22 03 10.7729,+18 53 03.5482,47.0,1.148,1.146,0.02,6075.0,4.0,Confirmed planets
Kepler-1080 b,0,,0.293,77.2548396,,,,,,,,,transit,2016.0,16/05/10,19 45 51.4802,+49 10 58.4601,1440.09,1.1,1.16,0.09,5956.0,,Confirmed planets
Kepler-1283 b,0,,0.17,12.9460978,,,,,,,,,transit,2016.0,16/05/10,19 41 50.9652,+40 46 37.0946,,1.16,1.25,0.04,6175.0,,Confirmed planets
GJ 4276 b,0,0.05213,,13.352,0.082,0.37,216.83,,,,,,RV,2019.0,19/01/24,22 25 17.0663,+59 24 49.8171,21.35,0.41,0.41,0.12,3387.0,,Confirmed planets
HD 187085 b,0,0.75,,986.0,2.05,0.47,,,,,215.5,,RV,2006.0,10/12/22,19 49 33.9664,-37 46 49.9739,44.98,1.22,,0.05,6075.0,,Confirmed planets
Kepler-538 b,0,0.03335,0.198,81.73778,0.4669,0.041,140.0,,,89.73,380.0,,transit,2016.0,19/09/26,19 49 56.8507,+49 37 24.3558,156.66,0.89,0.87,-0.03,5547.0,,Confirmed planets
HD 156846 b,2,263.0,,359.5546,1.096,0.84785,51.62,,185.3,177.3,,,RV,2008.0,14/11/06,17 20 34.31129,-19 20 01.4991,49.0,1.35,2.12,0.17,5969.0,,"Controversial, Planets in binary systems, S-type"
TOI-2193 b,0,0.94,1.77,2.1225735,0.03319,0.0,,,,79.96,1763.0,,transit,2022.0,22/05/24,20 54 46.00,-72 48 17.00,345.3,1.082,1.248,0.027,5966.0,,Confirmed planets
Kepler-702 b,0,,0.818,10.52629406,,,,,,,,,transit,2016.0,16/05/10,19 35 30.7407,+41 39 42.3152,1020.3,0.9,0.86,0.0,5419.0,,Confirmed planets
