name,binaryflag,mass,radius,period,semimajoraxis,eccentricity,periastron,longitude,ascendingnode,inclination,temperature,age,discoverymethod,discoveryyear,lastupdate,system_rightascension,system_declination,system_distance,hoststar_mass,hoststar_radius,hoststar_metallicity,hoststar_temperature,hoststar_age,list
K2-161 b,0,,0.544,9.2832,,,,,,87.3,,,transit,2018.0,18/07/24,12 15 10.5241,-03 29 44.2346,735.9,0.987,2.57,-0.03,,,Confirmed planets
Kepler-567 b,0,,0.201,16.54297375,,,,,,,,,transit,2016.0,16/05/10,19 50 41.4191,+48 18 08.3224,567.891,0.84,0.79,0.0,5148.0,,Confirmed planets
Kepler-1250 b,0,,0.171,2.60754383,,,,,,,,,transit,2016.0,16/05/10,19 11 10.5248,+45 58 48.9096,,0.99,0.98,0.04,5717.0,,Confirmed planets
HATS-72 b,0,0.1254,0.722,7.3279474,0.066517,0.013,,,,89.56,739.0,,transit,2020.0,20/02/27,22 36 06.3189,-16 59 59.7882,127.66,0.73,0.72,0.099,4656.1,,Confirmed planets
HD 24064 b,0,9.4,,536.6,1.29,0.35,,,,,,,RV,2015.0,15/09/30,03 56 36.2965,+74 04 48.1238,264.4,1.0,38.0,-0.49,4052.5,,Confirmed planets
HATS-43 b,0,0.261,1.18,4.3888497,0.04944,0.173,330.0,,,89.24,,,transit,2017.0,17/07/26,05 22 09.1675,-30 01 45,341.0,0.837,0.812,0.05,5099.0,8.6,Confirmed planets
Kepler-1242 b,0,,0.202,13.62798432,,,,,,,,,transit,2016.0,16/05/10,18 58 25.4934,+41 11 46.9620,701.262,0.77,0.74,-0.05,4895.0,,Confirmed planets
KMT-2018-BLG-1988L b,0,0.0214,,,2.83,,,,,,,,microlensing,2021.0,21/11/22,17 41 08.00,-35 35 41.00,4200.0,0.47,,,,,Confirmed planets
Kepler-618 b,0,,0.232,3.59576964,,,,,,,,,transit,2016.0,16/05/10,19 04 59.9597,+48 03 39.3642,1266.46,1.05,1.08,0.08,5860.0,,Confirmed planets
Kepler-1315 b,0,0.0078,0.123,0.84338011,0.0163,0.0,,,,78.23,1541.0,,transit,2016.0,22/09/15,19 43 17,+46 03 11,480.869,0.8,0.75,0.07,4861.0,,Confirmed planets
Kepler-1315 c,0,0.0128,0.165,6.56606007,0.064,0.0,,,,88.08,777.0,,transit,2021.0,22/09/15,19 43 17,+46 03 11,480.869,0.8,0.75,0.07,4861.0,,Confirmed planets
HD 22781 b,0,13.65,,528.07,1.167,0.8191,,,,,167.0,,RV,2011.0,11/11/04,03 40 49.5245,+31 49 34.6488,31.79,0.75,,-0.37,5027.0,,Confirmed planets
Kepler-31 b,0,,0.57868,20.860674,,,,,,,,,transit,2014.0,14/02/26,19 36 05.5270,+45 51 11.1064,1790.6,1.208,1.306,,6034.0,,Confirmed planets
Kepler-31 c,0,,0.51489,42.632728,,,,,,,,,transit,2014.0,14/02/26,19 36 05.5270,+45 51 11.1064,1790.6,1.208,1.306,,6034.0,,Confirmed planets
Kepler-31 d,0,,0.41555,87.648901,,,,,,,,,transit,2014.0,14/02/26,19 36 05.5270,+45 51 11.1064,1790.6,1.208,1.306,,6034.0,,Confirmed planets
TOI-181 b,0,0.1452,0.634,4.532,0.0539,0.1543,-96.91,,,88.28,895.1,,transit,2023.0,23/10/15,23 28 41,-34 29 29,96.2338,0.82,0.74,0.272,4994.0,,Confirmed planets
Kepler-926 b,0,,0.206,52.0688601,,,,,,,,,transit,2016.0,16/05/10,19 18 43.0449,+40 42 01.6458,945.626,1.01,1.01,0.03,5806.0,,Confirmed planets
Kepler-929 b,0,,0.099,0.92103214,,,,,,,,,transit,2016.0,16/05/10,19 53 55.4689,+41 36 55.2145,1361.66,1.01,1.02,-0.04,5869.0,,Confirmed planets
Kepler-1955 b,0,0.00531,0.104,14.26519966,0.117,0.0,,,,89.29,853.0,,transit,2021.0,22/02/01,19 58 08,+40 28 40,449.351,1.05,1.29,0.14,5825.0,,Confirmed planets
MOA-2010-BLG-073L b,0,11.0,,,,,,,,,,,microlensing,2012.0,12/11/19,18 10 11.342,-26 31 22.544,2800.0,0.16,,,,,Confirmed planets
Kepler-470 b,0,,1.288,24.66919569,,,,,,,,,transit,2016.0,16/05/10,19 48 02.2677,+50 22 20.3719,955.384,1.4,1.66,0.04,6613.0,,Confirmed planets
Kepler-1845 b,0,0.0205,0.218,11.60649967,0.0885,0.0,,,,89.97,584.0,,transit,2021.0,22/02/01,19 31 36,+38 17 49,710.724,0.69,0.7,-0.14,4703.0,,Confirmed planets
Kepler-621 b,0,,0.205,2.62811375,,,,,,,,,transit,2016.0,16/05/10,19 23 42.5479,+39 54 50.9281,,0.72,0.68,-0.02,4521.0,,Confirmed planets
Kepler-1528 b,0,,0.13,1.79111021,,,,,,,,,transit,2016.0,16/05/10,19 09 36.7088,+46 34 26.3582,837.17,1.03,1.03,0.03,5857.0,,Confirmed planets
Kepler-1308 b,0,,0.046,2.10433812,,,,,,,,,transit,2016.0,16/05/10,19 03 42.9328,+38 31 15.4486,113.072,0.35,0.34,-0.13,3468.0,,Confirmed planets
Kepler-44 b,0,1.0,1.09,3.2467293,0.0446,,,,,84.96,,,transit,2011.0,15/12/03,20 00 24.5656,+45 45 43.7628,1229.1,1.12,1.35,0.42,5800.0,5.8,Confirmed planets
Kepler-896 b,0,,0.226,144.547396,,,,,,,,,transit,2016.0,16/05/10,18 49 45.3985,+43 44 04.0819,,0.84,0.81,-0.1,5262.0,,Confirmed planets
Kepler-871 b,0,,0.334,22.0459018,,,,,,,,,transit,2016.0,16/05/10,19 38 06.5023,+43 22 05.3579,,1.11,1.14,0.09,5993.0,,Confirmed planets
Kepler-161 b,0,,0.1932,4.921355,,,,,,,,,transit,2014.0,14/02/26,19 22 03.9578,+43 05 01.7456,484.58,0.783,0.806,,5078.0,,Confirmed planets
Kepler-161 c,0,,0.18682,7.06424,,,,,,,,,transit,2014.0,14/02/26,19 22 03.9578,+43 05 01.7456,484.58,0.783,0.806,,5078.0,,Confirmed planets
KMT-2019-BLG-2783L b,0,1.16,1.22,,1.85,,,,,,,,microlensing,2023.0,23/10/15,17 57 10,-33 47 19,5910.0,0.34,,,,,Confirmed planets
OGLE-2015-BLG-1771L b,0,0.433,,,0.85,,,,,,,,microlensing,2020.0,20/06/24,17 55 12,-28 51 46,7070.0,0.08,,,,,Confirmed planets
Kepler-1328 b,0,,0.087,4.52158888,,,,,,,,,transit,2016.0,16/05/10,18 58 42.0941,+44 25 03.9200,833.056,1.0,0.99,0.0,5780.0,,Confirmed planets
K2-350 c,0,0.025,0.244,19.991944,,,,,,,687.0,,transit,2016.0,21/10/03,13 36 09,-14 00 33,489.368,0.98,1.04,-0.02,5789.0,,Confirmed planets
K2-350 b,0,0.0094,0.137,4.163873,,,,,,,1158.0,,transit,2021.0,21/10/03,13 36 09,-14 00 33,489.368,0.98,1.04,-0.02,5789.0,,Confirmed planets
HD 564 b,0,0.33,,492.3,1.2,0.096,314.0,,,,,,RV,2014.0,15/11/17,00 09 52.82123,-50 16 04.1606,53.6,0.961,1.01,-0.2,5902.0,5.5,Confirmed planets
Kepler-1544 b,0,,0.159,168.811174,,,,,,,,,transit,2016.0,16/05/10,19 49 08.4029,+49 12 44.7871,338.364,0.81,0.74,0.02,4886.0,,Confirmed planets
IC 4651 9122 b,0,6.3,,734.0,2.038,0.18,118.5,,,,,,RV,2018.0,18/07/19,17 24 50,-49 56 56,879.38,2.1,,0.12,,,Confirmed planets
MOA 2011-BLG-322L b,0,11.6,,,,,,,,,,,microlensing,2013.0,18/09/19,18 04 53.6,-27 13 15.4,7560.0,0.39,,,,,Confirmed planets
WASP-12 b,2,1.404,1.736,1.0914222,0.02293,0.0,,,,86.0,2319.7,,transit,2008.0,13/07/31,06 30 33,+29 40 20,250.0,1.35,1.599,0.3,6118.0,,"Confirmed planets, Planets in binary systems, S-type"
Kepler-1700 b,0,,0.259,234.239,,,,,,,,,transit,2020.0,20/09/03,19 07 48,+45 21 14,732.73,,1.14,,5885.0,,Confirmed planets
WASP-119 b,0,1.23,1.4,2.49979,0.0363,,,,,85.0,1600.0,,transit,2016.0,16/02/04,03 43 44.0213,-65 11 37.8644,333.0,1.02,,0.14,5650.0,,Confirmed planets
Kepler-789 b,0,,0.189,8.63847725,,,,,,,,,transit,2016.0,16/05/10,19 43 54.0394,+38 56 47.8802,1544.64,1.01,1.02,-0.06,5870.0,,Confirmed planets
Kepler-1445 b,0,,0.086,10.60052251,,,,,,,,,transit,2016.0,16/05/10,18 40 59.8727,+43 54 54.3869,513.769,1.13,1.26,-0.03,6150.0,,Confirmed planets
2M 044144 b,2,9.8,,,,,,,,,1800.0,,imaging,2010.0,15/09/12,04 41 45.652,+23 01 58.07,145.0,0.018,,,2100.0,,"Confirmed planets, Planets in binary systems, S-type"
HD 33844 b,0,1.92,,547.9,1.59,0.16,190.0,,,,,,RV,2015.0,15/12/28,05 12 36.10097,-14 57 04.0084,100.9,1.78,5.29,0.27,4861.0,1.88,Confirmed planets
HD 33844 c,0,1.68,,924.3,2.25,0.09,5.0,,,,,,RV,2015.0,15/12/28,05 12 36.10097,-14 57 04.0084,100.9,1.78,5.29,0.27,4861.0,1.88,Confirmed planets
Kepler-180 c,0,,0.2743,41.885775,,,,,,,,,transit,2014.0,14/02/26,19 42 17.1136,+49 46 28.4282,873.85,0.91,1.063,,5731.0,,Confirmed planets
Kepler-180 b,0,,0.1367,13.817124,,,,,,,,,transit,2014.0,14/02/26,19 42 17.1136,+49 46 28.4282,873.85,0.91,1.063,,5731.0,,Confirmed planets
2MASS J2002-0521,0,13.0,1.36,,,,,,,,1301.0,,imaging,2022.0,22/01/23,20 02 50.71,-05 21 52.58,17.6316,,,,,,Confirmed planets
Kepler-1088 b,0,,0.127,23.12748644,,,,,,,,,transit,2016.0,16/05/10,18 46 14.7505,+42 27 01.7750,282.917,1.08,1.08,0.05,5975.0,,Confirmed planets
